﻿language,unit,word,definition
"עברית","1","חָרָךְ","שרף קלות באש, צרב"
"עברית","1","טָוָה","שָׁזַר, יצר חוטים מחומר גולמי"
"עברית","1","טָוָה","חיבר, צירף"
"עברית","1","טְלַאי","חתיכת בד שתופרים על בגד לצורך תיקון קרע"
"עברית","1","טְרָשִׁים","אדמה סלעית שקשה לעבד"
"עברית","1","יָגֵעַ","עייף מרוב עבודה, תשוש"
"עברית","1","יָד רוֹחֶצֶת יָד","אחד עוזר לשני, שמור לי ואשמור לך (בדרך כלל בהקשר שלילי)"
"עברית","1","יְקִיצָה","התעוררות משינה, חוסר שינה, ערנות"
"עברית","1","יַרְכָתַיִים","החלק האחורי של הספינה"
"עברית","1","כְּבַד לָשׁוֹן / פֶּה","מגמגם, מתקשה בדיבור"
"עברית","1","כִּיחֵד","הסתיר, העלים, לא גילה את כל האמת, שיקר"
"עברית","1","כִּילָּה","סיים, גמר"
"עברית","1","כִּילָּה","השמיד, חיסל"
"עברית","1","כִּילָּה","רשת שפורשים מעל למיטה להגן על השוכבים בה מיתושים וזבובים"
"עברית","1","כַּן / כַּנָּה","בסיס שעליו מעמידים דבר כלשהו"
"עברית","1","כְּסָיָה","כפפה"
"עברית","1","כְּרַךְ","עיר גדולה"
"עברית","1","לֵאוּת","יגעות, עייפות, תשישות"
"עברית","1","לַהַג","פטפוט, ריבוי דברים בלא טעם"
"עברית","1","לַהֲגָן","פטפטן, שמדבר בלי סוף"
"עברית","1","לוּלֵא","אִם לֹא"
"עברית","1","לִיבָּה","הגדיל את הלהבה"
"עברית","1","לִיבָּה","החלק המרכזי והחשוב ביותר במשהו, גרעין"
"עברית","1","לִיבָּה","החלק הפנימי של הפרי בו מרוכזים הזרעים"
"עברית","1","לִיבָּה","הגביר, הסעיר"
"עברית","1","לִיטֵּשׁ","נתן מראה חלק או מבריק באמצעות שפשוף/החלקה"
"עברית","1","לִיטֵּשׁ","שיפר, עיבד, עשה ""פִינִיש"""
"עברית","1","לִמְגִינַּת לִבּוֹ","לצערו, למורת רוחו"
"עברית","1","מַאֲכֶלֶת","סכין לשחיטה, חַלָף"
"עברית","1","מֵאֵן","לא הסכים, התנגד, סרב"
"עברית","1","מְבוּסָם","שיכור קלות, שתוי"
"עברית","1","מַגָּל","כלי עבודה לקצירת תבואה (עשוי מסכין בצורת חצי ירח)"
"עברית","1","מָהוּהַּ","בלוי, מרופט, שחוק"
"עברית","1","מַזְמֵרָה","כלי גינה המשמש לקיצוץ הענפים"
"עברית","1","מִכְמוֹרֶת","רשת גדולה המשמשת בעיקר לדייג, מצודה (רשת דייגים)"
"עברית","1","מֵלִיץ יוֹשֶר","סנגור, מי שטוען לזכותו של מישהו"
"עברית","1","מָסִיק","קטיף זיתים, עונת קטיף הזיתים"
"עברית","1","מִסְעָד","תמיכה, משענת"
"עברית","1","מַפַּח נֶפֶשׁ","אכזבה גדולה"
"עברית","1","מִצְנֶפֶת","כובע בד, מגבעת"
"עברית","1","מִרְבָּץ","רובד קרקע שמצויים בו מחצבים (מרבץ יהלומים - אזור בו יש יהלומים רבים לכרייה)"
"עברית","1","מְשׁוּנָּן","בעל שיניים או בעל צורה של שיניים"
"עברית","1","מְתַאֲבֵן","מאכל המוגש בתחילת הארוחה על-מנת להגביר את התאבון"
"עברית","1","נִגַף","הובס, נוצח"
"עברית","1","נֶגֶף","תקלה, מכשול (אֶבֶן נֶגֶף - מכשול)"
"עברית","1","נֶגֶף","מחלה קשה המפילה חללים רבים"
"עברית","1","נָדָן","נרתיק החרב"
"עברית","1","נָהִיר","ברור, מובן"
"עברית","1","נֶהֶנְתָן","רודף תענוגות"
"עברית","1","נוֹטֵר","שומר, מאבטח"
"עברית","1","נוֹטֵר טִינָה","לא סולח, שומר כעס"
"עברית","1","נוּל","מכונת אריגה"
"עברית","1","נְחִיל","להקת חרקים"
"עברית","1","נִחַם","התחרט על מה שעשה, הצטער"
"עברית","1","נֶחָמָה פּוּרְתָּא","נחמה כלשהי, נחמה מועטה"
"עברית","1","נַחְשׁוֹל","גל גדול"
"עברית","1","נִטְמַע","נקלט והפך לחלק מקבוצה מסוימת, נבלע"
"עברית","1","נִיחָא","מילא, אין דבר"
"עברית","1","נִיפָּה","סינן, ניקה, ברר"
"עברית","1","נִכּוּשׁ","עקירת עשבים שוטים"
"עברית","1","נִכְלָם","מבוייש, בוש (בּוֹשׁ וְנִכְלָם - הִתְבַּיֵּשׁ מאוד), כלימה = בושה"
"עברית","1","נֶעֱתַר","הסכים, השיב בחיוב"
"עברית","1","נִפְעָם","נרגש"
"עברית","1","נִקְוָוה","זרם והצטבר במקום כלשהו"
"עברית","1","נִרְגָּן","רוטן ומתלונן כל עת"
"עברית","1","נִרְפֶּה","עצלן, רשלן"
"עברית","1","סַוָּר","סבל בנמל"
"עברית","1","סוֹרֵר","מרדן, סרבן, חסר משמעת"
"עברית","1","סַיָּס","עובד המטפל בסוסים"
"עברית","1","סִיקֵּל","פינה אבנים, ניקה את השטח מאבנים"
"עברית","1","סָנֵגוֹר","עורך דין המגן על הנאשם"
"עברית","1","סִתֵּת","הקציע והחליק אבנים"
"עברית","1","סַתָת","מחליק ומהקצע אבנים, בעל מקצוע שמסתת אבנים"
"עברית","1","עִילֵג","מדבר בצורה לא ברורה, כבד דיבור"
"עברית","1","עַלְוָוה","כלל העלים המכסים את העץ"
"עברית","1","עָמַד מִנֶּגֶד / מִן הַצַּד","לא התערב"
"עברית","1","עָרֵב","מי שמתחייב לפרוע חוב של אחר והיה והאחר לא יעמוד בהתחייבויותיו"
"עברית","1","עָרֵב","נעים לשמיעה (נאמר גם על אוכל: ערב לחך - טעים)"
"עברית","1","פִּיר","חוֹר, בוֹר (פיר המעלית - ה""שרוול"" בו עוברת המעלית)"
"עברית","1","פָּלָה","הוציא כינים (מהשיער, מהפרווה וכדומה)"
"עברית","1","פָּמַלְיָה","בני-לוויה"
"עברית","1","פֶּרֶא","חסר תרבות"
"עברית","1","פֶּרֶא","חמור הבר"
"עברית","1","צִדֵד","תמך ב-, דגל ב-"
"עברית","1","צִדֵד","הביט מן הצד, הביט מזווית בעין"
"עברית","1","צִדֵד","הפנה דבר מה הצידה, הִטה"
"עברית","1","קוֹרֶט / קַרְטוֹב","מעט, כמות קטנה"
"עברית","1","קוּשִיָה","שאלה, בעיה, חידה"
"עברית","1","קוֹשֵׁשׁ","אסף עצים או קש למדורה"
"עברית","1","קִיטוֹן","חדר קטן, חדר שינה"
"עברית","1","קָמַל","נבל (להיפך: לבלב)"
"עברית","1","קְרִיסָה","התמוטטות, הרס"
"עברית","1","קְרִישָׁה","התעבות של נוזל והפיכתו לסמיך וקרוש"
"עברית","1","קָשַׁר (לוֹ) כְּתָרִים","שיבח אותו מאוד"
"עברית","1","קַת","החלק האחורי של הנשק שבא במגע עם הכתף, ידית"
"עברית","1","רָדָה","אסף דבש מהכוורת"
"עברית","1","רָדָה","שלט ביד רמה, משל"
"עברית","1","רָוָוה","שתה עד שלא הרגיש צמא יותר"
"עברית","1","רָקִיק","מאפה שטוח ודק, עוגיה שטוחה"
"עברית","1","רֶשֶף","הבזק אש, גחלת, ניצוץ"
"עברית","1","רָשַׁף","התיז רשפים או ניצוצות. בהשאלה: כעס, נמלא חימה ותוכחה"
"עברית","1","שָׁאוֹן","קול, המולה, רעש"
"עברית","1","שְׁאַט נֶפֶשׁ","תחושת סלידה (שאט - בוז)"
"עברית","1","שׁוֹקֵק (חַיִּים)","מלא אנשים, פעילות מרובה"
"עברית","1","שִׁיסָה","גרם למישהו לתקוף אחר, הסית"
"עברית","1","שָׁכִיחַ","נפוץ, מצוי (להיפך: נדיר)"
"עברית","1","שָׁכַך","נרגע, שקט, דמם"
"עברית","1","שָׁלָה","הוציא מתוך נוזל"
"עברית","1","שַׁמַּאי","מי שתפקידו להעריך את שווי הנכס"
"עברית","1","תֶּלֶם","החריץ שנוצר בעת חרישת האדמה"
"עברית","2","אֶדֶן","המדף בתחתית החלון"
"עברית","2","אֲדָנִית","עציץ מוארך המונח בדרך-כלל על אדן החלון"
"עברית","2","אִסְפְּלָנִית","תחבושת, פלסטר, אגד מדבק"
"עברית","2","אֵפוֹא","אם כך, ובכן"
"עברית","2","אֶצְעָדָה","צמיד לרגל או ליד"
"עברית","2","אֲרוּכָה","גֶּלֶד, שכבת הבשר הבריא העולה על פצע מבריא (העלה ארוכה, הגליד)"
"עברית","2","אֶרֶך אַפַּיִים","אדם סבלני שאינו ממהר לכעוס"
"עברית","2","אֵרַע","קרה"
"עברית","2","אַשְׁפָּה","נרתיק לחיצים"
"עברית","2","בְּדִימוֹס","שהשתחרר או פרש מעבודתו או תפקידו"
"עברית","2","בּוֹסֶר","פרי לא בשל"
"עברית","2","בּוֹסֶר","דבר שעדיין אינו בשל, אינו מוכן"
"עברית","2","בּוֹצֵר","מי שעובד בבציר (קטיף ענבים)"
"עברית","2","בִּיוֹגְרַפְיָה","תאור תולדותיו של אדם מסוים"
"עברית","2","בַּלָאט","בשקט, בחשאי"
"עברית","2","בַּלָאט","בסתר, בחדרי חדרים, בהחבא"
"עברית","2","בְּעֶטְיוֹ","בעצתו (הרעה), בשל מזימתו, באשמתו, (עטי = עצה רעה)"
"עברית","2","בָּצִיר","הענבים עצמם"
"עברית","2","בְּרֹאשׁ חוּצוֹת","בפומבי, בפרהסיה"
"עברית","2","בָּרִי","ברור, ודאי, ידוע"
"עברית","2","בְּרֵישׁ גְּלֵי","לעיני כל"
"עברית","2","בַּר-מִינָן","מת, מנוח"
"עברית","2","בָּרַר","בחר את מה שמתאים ביותר, סינן"
"עברית","2","גָּדַשׁ","מִילא עד אפס מקום"
"עברית","2","גָּדַש אֶת הַסְּאָה","הגזים, הפריז, עבר את הגבול (סאה - מידת נפח עתיקה)"
"עברית","2","גֵּז","פעולת הגזיזה של הצמר"
"עברית","2","גֵּז","צמר שנגזז מהצאן"
"עברית","2","גָּז","נעלם, נמוג, חלף"
"עברית","2","גְּזֵרָה","פקודה או חוק של איסור כלשהו, פסק דין, תקנה, הוראה"
"עברית","2","גַּיְא","שקע צר בין הרים"
"עברית","2","גִּיל / גִּילָה","שמחה, ששון, אושר"
"עברית","2","גַּלְעִין","גרעין הפרי, ליבה, חרצן"
"עברית","2","גְּמִילָה","השתחררות מהרגל מזיק"
"עברית","2","גְּמִילָה","הבשלת הפרי"
"עברית","2","גַּנְזַך","ארכיב, ארכיון, מקום לאכסון מסמכים (לרוב ממשלתי)"
"עברית","2","גַּפַּיִם","שם כולל לרגלים והידיים של בני אדם ובעלי חיים"
"עברית","2","גָּרַע","החסיר"
"עברית","2","דָּלָה","שאב, הוציא מהמים (דָּלָה פנינים). בהשאלה: הוציא משהו לאחר חיפוש (לדלות מידע)"
"עברית","2","דָלַק","רדף (אחרי מישהו)"
"עברית","2","דָלַק","בער"
"עברית","2","דָּרוּך","מוכן לפעולה, ערני, קשוב"
"עברית","2","דָּרוּך","מתוח, משוך"
"עברית","2","הֶאֱמִיר","עלה, התייקר"
"עברית","2","הִבְלִיח","הבהב באור חלש ובלתי יציב, נצנץ"
"עברית","2","הִגְדִּישׁ אֶת הַסְּאָה","הגזים, הפריז, עבר את הגבול (סאה - מידת נפח עתיקה)"
"עברית","2","הֵגִיף","סגר, נעל, הבריח"
"עברית","2","הִדְבִּיר","ריסס נגד מזיקים"
"עברית","2","הִדִּיר רַגְלָיו","נמנע מלבקר, הגיע לעתים רחוקות"
"עברית","2","הִדִּיר שֵׁינָה מֵעֵינָיו","גרם לדאגה"
"עברית","2","הִדִּיר שֵׁינָה מֵעֵינָיו","לא נרדם"
"עברית","2","הֵהִין","העז"
"עברית","2","הוֹכִיחַ","הראה ראיות לנכונותו ואמיתותו של דבר מה, אימת, נזף"
"עברית","2","הוֹכִיחַ","הטיף לו מוסר"
"עברית","2","הוֹקִיר רַגְלָיו","נמנע מלבקר, הגיע לעתים רחוקות"
"עברית","2","הִזְדַּכְּכוּת","הפיכה לנקי וצלול, התנקות"
"עברית","2","הִזְדַּכְּכוּת","השתחררות מחטאים או רגשות שליליים, זיכוך הנפש"
"עברית","2","הִטְלִיא","תיקן קרע בבגד על ידי טלאי"
"עברית","2","הִטְמִיעַ","החדיר מערכת חדשה (למשל מערכת מחשב) לארגון כלשהו"
"עברית","2","הִכְמִין","הניח במקום מסתור, החביא, הסתיר"
"עברית","2","הָלַם","הכה, הקיש, דפק"
"עברית","2","הֵפִיס דַעֲתוֹ","ריצה או הרגיע אותו, השכין שלום"
"עברית","2","הִשְׁכִּין","נתן מקום מגורים, יישב, אִכלס"
"עברית","2","הִשְׁכִּין","השליט, השרה (אווירה, שלום וכו&#39;)"
"עברית","2","הִשְׁתּוֹקֵק","רצה מאוד"
"עברית","2","הִתְחַבֵּט","התלבט"
"עברית","2","הִתְחַסֵּד","נהג ברחמנות"
"עברית","2","הִתְמַקֵּחַ","ניהל משא ומתן על מחירו של דבר או על תנאים בעסקה, בחוזה וכדומה"
"עברית","2","הִתְעַרְטֵל","חשף את רגשותיו הכמוסים"
"עברית","2","הִתְפַּעֵם","התרגש מרוב פליאה, החסיר פעימה, התרשם"
"עברית","2","הִתְקַהֵל","התאסף, התקבץ לקהל"
"עברית","2","זְמוֹרָה","ענף, זרד"
"עברית","2","זָמַר","קצץ ענפים (מַזְמֵרָה - מספרים מיוחדים לקיצוץ ענפים, זְמוֹרָה - ענף של גפן)"
"עברית","2","חַבּוּט","מוכה, נחבט"
"עברית","2","חַבּוּט","מועב, שחבטו בו. בהשאלה: נדוש, נושא שדנו בו רבות, חסר חידוש"
"עברית","2","חִלְחוּל","חדירה של מים וירידתם למעמקים"
"עברית","2","חִלְחוּל","הסתננות"
"עברית","2","חמשיר","שיר היתולי, עוקצני וקצר המורכב מחמש שורות (חמש ושיר)"
"עברית","2","חָרִיט","ארנק"
"עברית","2","חָרַץ לָשׁוֹן","התחצף, חירף וגידף, השמיע דברים קשים (גם הוציא לשון)"
"עברית","2","חָתָה","גרף, אסף והעביר (לרוב גחלים) (מַחְתָּה - כלי לטיפול בגחלים)"
"עברית","2","טָבַע","חקק צורה כלשהי בתוך חומר"
"עברית","2","טָבַע","יצר מטבע"
"עברית","2","יָרַד לְסוֹף דַעְתּוֹ","הבין את כוונתו בדיוק"
"עברית","2","יֵשׁ בְּלִבּוֹ עָלָיו","לא סלח"
"עברית","2","כַּבִּיר","גדול, עצום, רב, אדיר"
"עברית","2","כֶּבֶשׁ","מישור משופע (משמש לחיבור בין מקומות בעלי גבהים שונים, כבש המטוס, כבש הספינה וכד&#39;)"
"עברית","2","כָּבַשׁ","שימור של מזון"
"עברית","2","כָּבַשׁ","התאפקות, הבלגה"
"עברית","2","כָּבַשׁ","לחיצה, דחיסה, הידוק"
"עברית","2","כָּבַשׁ","הקסים"
"עברית","2","כָּבַשׁ","סלל דרך"
"עברית","2","כִּבְשָׁן","תנור להתכת מתכות וחימום חומרים שונים, כּוּר"
"עברית","2","כַּחַש","שֶקֶר, כַּזָב"
"עברית","2","כִּיבֵּד","טאטא, ניקה"
"עברית","2","כֵּרָה","סעודה, משתה, ארוחה חגיגית"
"עברית","2","כָּרַה","הוציא מחצבים מהקרקע, חפר, חצב"
"עברית","2","כִּתְמוֹל שִׁלְשוֹם","כמו תמיד, כמו שהיה עד עכשיו, כרגיל"
"עברית","2","לֹא שְׁזָפַתּוּ עַיִן","לא נראה על ידי איש, היה חבוי ומוסתר מעיני כול"
"עברית","2","לִבֵּן","חמם מתכת באש חזקה (עד שצבעה הפך לבן)"
"עברית","2","לִבֵּן","בירר סוגיה לעומק, דן בפרטים עד שהבין והגיע למסקנה / לפתרון"
"עברית","2","לַהַק","קבוצת מטוסים"
"עברית","2","לַהַק","קבוצה של בעלי חיים, להקה"
"עברית","2","לָקוֹנִי","קצר, תמציתי, ענייני"
"עברית","2","מִאוּס","דוחה, מגעיל, בזוי"
"עברית","2","מוּמָר","מי שהמיר את דתו"
"עברית","2","מוּסַר כְּלָיוֹת","רגשי אשם, חרטה"
"עברית","2","מחה","השמיד, השכיח, מחק"
"עברית","2","מָחָה","ניגב (מחה דמעה)"
"עברית","2","מָחָה","התנגד, הביע מחאה"
"עברית","2","מֶחֱוָה","מעשה בלתי מחייב שנועד להראות על רצון טוב וידידות"
"עברית","2","מֶחֱוָה","תנועה סמלית עם אחד מאיברי הגוף"
"עברית","2","מְטֻלָּא","מתוקן בטלאי, שניתן עליו טלאי במקום הקרע"
"עברית","2","מִכְמוֹנֶת","מלכודת, פח יקוש"
"עברית","2","מִכְמָן","מטמון, אוצר"
"עברית","2","מִכְמַנִּים","סודות"
"עברית","2","מְפוֹרָז","שאין בו כוחות צבאיים"
"עברית","2","מְצוּעֲצָע","מקושט ומעוטר בחוסר טעם ובצורה מוגזמת, קיטש"
"עברית","2","מֵצֵר","מצטער על משהו"
"עברית","2","מְרוּבָּב","מוכתם, מלוכלך"
"עברית","2","מִרְקָם","הרכב של חומר"
"עברית","2","מִרְקָם","מארג, אופי שנובע מההרכב"
"עברית","2","מָשָׁה","הוציא מתוך המים"
"עברית","2","מְשׂוּרָה","במידה מצומצמת, מעט מאוד"
"עברית","2","מְשׂוּרָה","כלי למדידת נוזלים"
"עברית","2","מָשַׁל בְּרוּחוֹ","ריסן את עצמו, התאפק"
"עברית","2","נוֹחַ לִכְעוֹס","מתעצבן מהר, מהיר חֵמה"
"עברית","2","נִחַם","התנחם"
"עברית","2","נִישָׂא","רם, גבוה"
"עברית","2","נִישָׂא","הורם, הונף"
"עברית","2","נִישָׂא","הושמע, נאמר"
"עברית","2","נָמוֹג","נעלם בהדרגה, התפוגג"
"עברית","2","נָמוֹג","מפוחד מאוד, מבוהל"
"עברית","2","נַקִיק","חריץ בסלע או בהר, סדק"
"עברית","2","נֵתַח","חתיכת בשר"
"עברית","2","נֵתַח","חלק מהשלם, פרוסה"
"עברית","2","סָבָא","שתה לשוכרה (מסבאה - פאב)"
"עברית","2","סַגְפָן","אדם שמענה את עצמו, מתנזר מהנאות החיים"
"עברית","2","סוּגַר","כלוב"
"עברית","2","סֶכֶר","מחסום בפני זרם מים של נהר או תעלה שניתן להרימו ולהורידו לפי הצורך"
"עברית","2","סָכַר אֶת פִּיו","סתם לו את הפה, החריש"
"עברית","2","סָרִיג","אריג סרוג דמוי רשת"
"עברית","2","סָרִיג","שבכה, מחיצת רשת"
"עברית","2","סָרִיג","מתקן לייבוש כלים"
"עברית","2","סָתוּם","לא ברור, לא מובן, מעורפל"
"עברית","2","עִבּוּי","הפיכת דבר לעבה, צפוף או סמיך יותר משהיה"
"עברית","2","עִבּוּי","תהליך הפיכת גז לנוזל"
"עברית","2","עֲדִי","תכשיט"
"עברית","2","עַל נְקַלָּה","בקלות, ללא מאמץ"
"עברית","2","עָלוּם","בלתי מוסבר, לא מובן"
"עברית","2","עָלוּם","מוסתר, חסוי"
"עברית","2","עֱלִי","מכשיר שצורתו גליל המשמש לכתישה"
"עברית","2","עֱלִי","חלק ממערכת הרביה של צמחים"
"עברית","2","עִנְבָּל","לשון הפעמון"
"עברית","2","עִנְבָּל","רצועת הבשר הקטנה התלויה בחלל הלוע מעל ללשון"
"עברית","2","עָנֵף","שיש לו הרבה ענפים רבים"
"עברית","2","עָנֵף","מסועף, בעל הרבה שלוחות"
"עברית","2","עָסִיסִי","רענן, מעניין"
"עברית","2","עָסִיסִי","מלא מיץ"
"עברית","2","עֲשָׁשִׁית","מנורת נפט"
"עברית","2","פָּדָה","שילם כסף תמורת החפץ הממושכן"
"עברית","2","פָּדָה","הציל, שיחרר, חילץ"
"עברית","2","פּוּזְמָק","גרב"
"עברית","2","פּוּמִית","פִּיָּה"
"עברית","2","פִּיטּוּם","האכלת מופרזת"
"עברית","2","פִּיֵּס","השכין שלום בין שני צדדים"
"עברית","2","פִּיֵּס","הרגיע מישהו והשכיח את כעסו על ידי בקשת סליחה, פיצוי וכו&#39;"
"עברית","2","פִּיק בִּרְכַּיִּים","רעידת הברכיים מפחד או מחולשה"
"עברית","2","פֶּלֶג","נחל טבעי קטן, ערוץ"
"עברית","2","פֶּלֶג","חלק מקבוצה שחבריו החליטו להיפרד ממנה"
"עברית","2","פֶּלֶג","חלק מהשלם (לרוב במשמעות חצי)"
"עברית","2","פָּרַע","החזיר חוב"
"עברית","2","פָּרַע","הרס, בזז"
